image-style-- src	image-style-- src 2	grid-product__title	money
https://empress-clothing.com/cdn/shop/files/GLK7650A.jpg?v=1774248687&width=1080	https://empress-clothing.com/cdn/shop/files/GLK7650AA.jpg?v=1774248687&width=1000	Embroidered Chinnon Silk Purple Palazzo Style Suit	₹ 9,499.99 INR
https://empress-clothing.com/cdn/shop/files/GLK7589C.jpg?v=1774248517&width=1080	https://empress-clothing.com/cdn/shop/files/GLK7589CA.jpg?v=1774248517&width=1000	Green Shimmer Silk Embroidered Festive Palazzo Dress	₹ 9,499.99 INR
https://empress-clothing.com/cdn/shop/files/GLK7589B.jpg?v=1774248448&width=1080	https://empress-clothing.com/cdn/shop/files/GLK7589BA.jpg?v=1774248449&width=1000	Pink Shimmer Silk Embroidered Festive Palazzo Dress	₹ 9,499.99 INR
https://empress-clothing.com/cdn/shop/files/GLK7589A.jpg?v=1774248182&width=1080	https://empress-clothing.com/cdn/shop/files/GLK7589AA.jpg?v=1774248181&width=1000	Cream Shimmer Silk Embroidered Festive Palazzo Dress	₹ 9,499.99 INR
https://empress-clothing.com/cdn/shop/files/IMG-7715.jpg?v=1774002492&width=1080	https://empress-clothing.com/cdn/shop/files/IMG-7714.jpg?v=1774002492&width=1000	Real Chinnon Onion Pink Color Embroidered Palazzo Suit	₹ 9,974.99 INR
https://empress-clothing.com/cdn/shop/files/IMG-7717.jpg?v=1774002163&width=1080	https://empress-clothing.com/cdn/shop/files/IMG-7716.jpg?v=1774002163&width=1000	Real Chinnon Green Color Embroidered Palazzo Suit	₹ 9,974.99 INR
https://empress-clothing.com/cdn/shop/files/IMG-7718.jpg?v=1774001704&width=1080	https://empress-clothing.com/cdn/shop/files/IMG-7719.jpg?v=1774001704&width=1000	Real Chinnon Old Rose Color Embroidered Palazzo Suit	₹ 9,974.99 INR
https://empress-clothing.com/cdn/shop/files/PNFOP10.jpg?v=1773738767&width=1080	https://empress-clothing.com/cdn/shop/files/PNFOP10A.jpg?v=1773738767&width=1000	Indo Western Pink Crepe Embroidered Set with Flared Cape	₹ 14,250.99 INR
https://empress-clothing.com/cdn/shop/files/PNFRP9.jpg?v=1773738607&width=1080	https://empress-clothing.com/cdn/shop/files/PNFRP9A.jpg?v=1773738606&width=1000	Pink Crepe Material Flared Palazzo Set with Flared Cape	₹ 14,250.99 INR
https://empress-clothing.com/cdn/shop/files/PNFPR9.jpg?v=1773738380&width=1080	https://empress-clothing.com/cdn/shop/files/PNFPR9A.jpg?v=1773738380&width=1000	Purple Crepe Material Flared Palazzo Set with Flared Cape	₹ 14,250.99 INR
