image-item src	image-item src 2	producttag-text	link	value
https://manyavar.scene7.com/is/image/manyavar/SHOS451D_340-Warm+White_101.8914_26-02-2026-15-50:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS451D_340-Warm+White_301.8917_26-02-2026-15-50:283x395		Warm White Elegance Open Sherwani	$ 860
https://manyavar.scene7.com/is/image/manyavar/SHOS466_302_28-02-2026-14-23:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS466_302-Cream.6448_27-02-2026-12-14:283x395		Vijay's Cream Sherwani with Heritage Motif Embroidery	$ 530
https://manyavar.scene7.com/is/image/manyavar/TODS419-301-White-404_02-12-2025-15-00:283x395	https://manyavar.scene7.com/is/image/manyavar/TODS419-301-White-405_02-12-2025-15-00:283x395		Regal White Sherwani Ensemble	$ 530
https://manyavar.scene7.com/is/image/manyavar/SHOS433D-382-Lilac-404_01-12-2025-11-02:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS433D-382-Lilac-405_01-12-2025-16-32:283x395		Lilac Elegance Open Sherwani	$ 705
https://manyavar.scene7.com/is/image/manyavar/SHOS432D-382-Lilac-404_01-12-2025-11-19:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS432D-382-Lilac-405_01-12-2025-16-50:283x395		Lilac Elegance Open Sherwani	$ 705
https://manyavar.scene7.com/is/image/manyavar/TODS419-386-Champagne-405_02-12-2025-15-51:283x395	https://manyavar.scene7.com/is/image/manyavar/TODS419-386-Champagne-406_02-12-2025-15-51:283x395		Champagne Elegance Sherwani	$ 530
https://manyavar.scene7.com/is/image/manyavar/SHOS453-303-Beige-4_03-12-2025-11-34:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS453-303-Beige-5-301_03-12-2025-11-34:283x395		Beige Satin Effect Open Sherwani	$ 580
https://manyavar.scene7.com/is/image/manyavar/SHOS374-376-Natural-4_03-12-2025-13-08:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS374-376-Natural-5-301_03-12-2025-13-08:283x395		Elegant Beige Open Sherwani	$ 805
https://manyavar.scene7.com/is/image/manyavar/SHOS453-340-Warm+White-404_01-12-2025-11-05:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS453-340-Warm+White-405_01-12-2025-16-35:283x395		Creamy Opulence Open Sherwani	$ 580
https://manyavar.scene7.com/is/image/manyavar/TODS1186-301-White-4_03-12-2025-11-26:283x395	https://manyavar.scene7.com/is/image/manyavar/TODS1186-301-White-5-301_03-12-2025-11-26:283x395		Elegant White Festive Open Sherwani	$ 755
https://manyavar.scene7.com/is/image/manyavar/IDES1035-309-Brown-101_21-01-2021-19-48:283x395	https://manyavar.scene7.com/is/image/manyavar/IDES1035-309-Brown-301_21-01-2021-13-19:283x395		Regal Radiance Brown Indo Western	$ 430
https://manyavar.scene7.com/is/image/manyavar/ODES1137-302-Cream-101_18-01-2021-23-46:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1137-302-Cream-301_18-01-2021-17-15:283x395		Regal Cream Brocade Sherwani	$ 430
https://manyavar.scene7.com/is/image/manyavar/CPSH388-303-Beige-101_21-01-2021-19-29:283x395	https://manyavar.scene7.com/is/image/manyavar/CPSH388-303-Beige-301_21-01-2021-13-00:283x395		Regal Beige Georgette Sherwani	$ 705
https://manyavar.scene7.com/is/image/manyavar/ODES1137-302-Cream-101_18-01-2021-23-46:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1137-302-Cream-301_18-01-2021-17-15:283x395		Regal Cream Brocade Sherwani	$ 430
https://manyavar.scene7.com/is/image/manyavar/CPSH388-303-Beige-101_21-01-2021-19-29:283x395	https://manyavar.scene7.com/is/image/manyavar/CPSH388-303-Beige-301_21-01-2021-13-00:283x395		Regal Beige Georgette Sherwani	$ 705
https://manyavar.scene7.com/is/image/manyavar/ODES1171-340-Warm+White-101_19-01-2021-20-39:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1171-340-Warm+White-301_19-01-2021-14-09:283x395		Elegant Cream Sherwani	$ 680
https://manyavar.scene7.com/is/image/manyavar/CPSH417D-302-Cream-101._20-01-2021-18-15:283x395	https://manyavar.scene7.com/is/image/manyavar/CPSH417D-302-Cream-301_20-01-2021-11-44:283x395		Regal Cream Royalty Sherwani	$ 805
https://manyavar.scene7.com/is/image/manyavar/KOS082-304-FAWN-101_19-01-2021-21-28:283x395	https://manyavar.scene7.com/is/image/manyavar/KOS082-304-FAWN-301_19-01-2021-14-59:283x395		Fawn Serenity Silk Kurta	$ 190
https://manyavar.scene7.com/is/image/manyavar/SOSK716-302-Cream-101_19-01-2021-22-01:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK716-302-Cream-301_19-01-2021-15-29:283x395		Bright Cream Detailed Traditional South Indian Shirt and Veshti Set	$ 250
https://manyavar.scene7.com/is/image/manyavar/TWMALA048_301-White.0490_27-02-2025-12-11	https://manyavar.scene7.com/is/image/manyavar/TWMALA048_301-White.0491_27-02-2025-12-11		Elegant White Mala	$ 250
https://manyavar.scene7.com/is/image/manyavar/TWMALA041_316-Dark+Green.0495_27-02-2025-12-15	https://manyavar.scene7.com/is/image/manyavar/TWMALA041_316-Dark+Green.0500_27-02-2025-12-17		Emerald Charm Mala	$ 250
https://manyavar.scene7.com/is/image/manyavar/SKS0627D_302-Cream.23060_01-03-2025-18-01	https://manyavar.scene7.com/is/image/manyavar/SKS0627D_302-Cream.23066_01-03-2025-18-02		Ivory Satin Mirror Work Kurta Set with Dupatta	$ 630
https://manyavar.scene7.com/is/image/manyavar/ODES1142_340-Warm+White_101.3346_19-03-2025-11-34:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1142_340-Warm+White_301.3351_19-03-2025-11-35:283x395		Cream Extravagance Sherwani	$ 430
https://manyavar.scene7.com/is/image/manyavar/SSH0386D_311-Pista+Green.23935_01-03-2025-21-58	https://manyavar.scene7.com/is/image/manyavar/SSH0386D_311-Pista+Green.23938_01-03-2025-21-58		Pista Green Silk Zari Embroidered Sherwani	$ 2,020
https://manyavar.scene7.com/is/image/manyavar/SKS0600D_306-Dark+Blue.23371_01-03-2025-18-55	https://manyavar.scene7.com/is/image/manyavar/SKS0600D_306-Dark+Blue.23377_01-03-2025-18-56		Dark Blue Silk Hand Embroidered Kurta Pant Set with Dupatta	$ 755
https://manyavar.scene7.com/is/image/manyavar/TWJUT073_302-Cream.0319_26-02-2025-16-40	https://manyavar.scene7.com/is/image/manyavar/TWJUT073_302-Cream.0446_27-02-2025-11-28		Regal Cream Elegance Jooti	$ 125
https://manyavar.scene7.com/is/image/manyavar/SHOS419D_304-Fawn_101.3578_19-03-2025-13-11:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS419D_304-Fawn_301.3580_19-03-2025-13-11:283x395		Sunset Peach Elegance Sherwani	$ 860
https://manyavar.scene7.com/is/image/manyavar/TWJUT080_348-Dark+Brown.0399_26-02-2025-17-25	https://manyavar.scene7.com/is/image/manyavar/TWJUT080_348-Dark+Brown.0443_27-02-2025-11-25		Regal Brown Jooti	$ 150
https://manyavar.scene7.com/is/image/manyavar/SHOS419D_340-Warm+White_101.3442_19-03-2025-12-15:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS419D_340-Warm+White_301.3447_19-03-2025-12-15:283x395		Warm White Exquisite Sherwani	$ 860
https://manyavar.scene7.com/is/image/manyavar/SKJ0224_382-Lilac.23522_01-03-2025-19-25	https://manyavar.scene7.com/is/image/manyavar/SKJ0224_382-Lilac.23523_01-03-2025-19-25		Lilac Ombre Silk Diamond Resham Embroidered Jacket Set	$ 380
https://manyavar.scene7.com/is/image/manyavar/SKS057_373-Dusty+Pink.22753_01-03-2025-17-06	https://manyavar.scene7.com/is/image/manyavar/SKS057_373-Dusty+Pink.22756_01-03-2025-17-06		Dusty Pink Chanderi Embroidered Kurta Set	$ 330
https://manyavar.scene7.com/is/image/manyavar/TWJUT079_309-Brown.0377_26-02-2025-17-11	https://manyavar.scene7.com/is/image/manyavar/TWJUT079_309-Brown.0465_27-02-2025-11-35		Dapper Brown Jooti	$ 150
https://manyavar.scene7.com/is/image/manyavar/ODES1152_302-Cream_101.16340_29-01-2025-21-11:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1152_302-Cream_301.16349_29-01-2025-21-12:283x395		Cream White Buta Jaal Patterned Sherwani Set with Rhinestone Work	$ 530
https://manyavar.scene7.com/is/image/manyavar/ODES1129_302-Cream_101.16113_29-01-2025-20-31:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1129_302-Cream_301.16117_29-01-2025-20-31:283x395		Cream White Grid Patterned Sherwani Set with Rhinestone Work	$ 530
https://manyavar.scene7.com/is/image/manyavar/SHOS368D_303-Beige_101.16824_29-01-2025-22-33:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS368D_303-Beige_301.16828_29-01-2025-22-33:283x395		Cream Beige Imperial Embroidered Sherwani Set with Sequin Work	$ 860
https://manyavar.scene7.com/is/image/manyavar/SSH0363D+312-GREY+(1)_30-09-2024-10-08	https://manyavar.scene7.com/is/image/manyavar/SSH0363D+312-GREY+(2)_30-09-2024-10-08	Twamev	Grey Silk Geometric Embroidered Sherwani	$ 1,135
https://manyavar.scene7.com/is/image/manyavar/SKJ0256_302-Cream_101.9405_28-12-2024-22-38	https://manyavar.scene7.com/is/image/manyavar/SKJ0256_302-Cream_301.9406_28-12-2024-22-38	Twamev	Cream Silk Floral Buta Thread Embroidered Jacket Set	$ 555
https://manyavar.scene7.com/is/image/manyavar/SIW0186D_311-Pista+Green_101.6638_12-11-2024-20-33	https://manyavar.scene7.com/is/image/manyavar/SIW0186D_311-Pista+Green_301.6642_12-11-2024-20-33	Twamev	Pista Green Crepe Jaal Medallion Patterned Indo Western with Matching Stole	$ 1,010
https://manyavar.scene7.com/is/image/manyavar/SKJ0260_373-Dusty+Pink_101.5964_12-11-2024-17-37	https://manyavar.scene7.com/is/image/manyavar/SKJ0260_373-Dusty+Pink_301.5966_12-11-2024-17-37	Twamev	Dusty Pink Silk Linear Grid Embroidered Jacket Set	$ 405
https://manyavar.scene7.com/is/image/manyavar/SKJ0208_328-Mustard_101.6325_12-11-2024-18-45	https://manyavar.scene7.com/is/image/manyavar/SKJ0208_328-Mustard_301.6329_12-11-2024-18-45		Mustard Yellow Silk Fern Motif Resham Embroidered Jacket Set	$ 430
https://manyavar.scene7.com/is/image/manyavar/SKJ0211_302-Cream_101.6302_12-11-2024-18-35	https://manyavar.scene7.com/is/image/manyavar/SKJ0211_302-Cream_301.6307_12-11-2024-18-36	Twamev	Ivory Silk Paisley Resham Embroidered Jacket Set	$ 555
https://manyavar.scene7.com/is/image/manyavar/SKJ0260_303-Beige_101.5839_12-11-2024-17-18	https://manyavar.scene7.com/is/image/manyavar/SKJ0260_303-Beige_301.5844_12-11-2024-17-18	Twamev	Beige Silk Linear Grid Embroidered Jacket Set	$ 405
https://manyavar.scene7.com/is/image/manyavar/SKJ0208_312-Light+Grey_101.6094_12-11-2024-17-59	https://manyavar.scene7.com/is/image/manyavar/SKJ0208_312-Light+Grey_301.6098_12-11-2024-17-59	Twamev	Concrete Grey Silk Fern Motif Resham Embroidered Jacket Set	$ 430
https://manyavar.scene7.com/is/image/manyavar/ODES989_340-Warm+White_101.12423_31-08-2024-17-57:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES989_340-Warm+White_501.12428_31-08-2024-17-58:283x395		Warm White Medallion Patterned Sherwani Set	$ 530
https://manyavar.scene7.com/is/image/manyavar/SKS1001_373-Dusty+Pink_101.1017_22-06-2024-22-17	https://manyavar.scene7.com/is/image/manyavar/SKS1001_373-Dusty+Pink_301.1021_22-06-2024-22-17	Twamev	Dusty Pink Silk Embroidered Kurta Set	$ 200
https://manyavar.scene7.com/is/image/manyavar/ODES1100_302-Cream_101.1524_24-06-2024-23-18-2:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1100_302-Cream_301.1529_24-06-2024-23-18-2:283x395	Shaadi Look	Cream Jaal Patterned Sherwani Set	$ 355
https://manyavar.scene7.com/is/image/manyavar/ODES1027D_303-Beige.0168_23-04-2024-17-28:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1027D_303-Beige.0171_23-04-2024-17-28:283x395	Shaadi Look	Sand Beige Sequinned Sherwani Set	$ 630
https://manyavar.scene7.com/is/image/manyavar/ODES1024A_373-Dusty+Pink.0106_23-04-2024-14-59:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1024A_373-Dusty+Pink.0110_23-04-2024-14-59:283x395		Dusty Pink Self Patterned Open Sherwani Set	$ 430
https://manyavar.scene7.com/is/image/manyavar/SKJ0267-340+(1)_19-09-2024-15-16	https://manyavar.scene7.com/is/image/manyavar/SKJ0267-340+(2)_19-09-2024-15-16	Twamev	Cream Silk Resham Mirror Work Jacket Set	$ 405
https://manyavar.scene7.com/is/image/manyavar/ODES1027D_303-Beige.0168_23-04-2024-17-28:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1027D_303-Beige.0171_23-04-2024-17-28:283x395	Shaadi Look	Sand Beige Sequinned Sherwani Set	$ 630
https://manyavar.scene7.com/is/image/manyavar/ODES1024A_373-Dusty+Pink.0106_23-04-2024-14-59:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1024A_373-Dusty+Pink.0110_23-04-2024-14-59:283x395		Dusty Pink Self Patterned Open Sherwani Set	$ 430
https://manyavar.scene7.com/is/image/manyavar/SKJ0267-340+(1)_19-09-2024-15-16	https://manyavar.scene7.com/is/image/manyavar/SKJ0267-340+(2)_19-09-2024-15-16	Twamev	Cream Silk Resham Mirror Work Jacket Set	$ 405
